industry_id,naics_code,suggested_use,source_file,question,license_note,publisher,report_title,publication_date,category,applies_to,source_basis
62,62,diligence/Guide,62 Healthcare and Social Assistance in the US Industry Report.pdf,How does the target's revenue growth compare to the industry CAGR in this report?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Healthcare and Social,August 2025,growth,metrics,PEDESK
62,62,diligence/Guide,62 Healthcare and Social Assistance in the US Industry Report.pdf,Is the target's profit margin above or below the industry benchmark?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Healthcare and Social,August 2025,margin,benchmarks,PEDESK
62,62,diligence/Guide,62 Healthcare and Social Assistance in the US Industry Report.pdf,"Which report-cited external drivers most affect this target, and in which direction?",Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Healthcare and Social,August 2025,drivers,drivers,PEDESK
62,62,diligence/Guide,62 Healthcare and Social Assistance in the US Industry Report.pdf,What public CMS/HCRIS data can validate or challenge this industry thesis?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Healthcare and Social,August 2025,validation,public-data,PEDESK
62,62,diligence/Guide,62 Healthcare and Social Assistance in the US Industry Report.pdf,Which metrics here are report-derived vs provider-specific?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Healthcare and Social,August 2025,provenance,labeling,PEDESK
62,62,diligence/Guide,62 Healthcare and Social Assistance in the US Industry Report.pdf,Which sub-sector verticals drive the broad-sector thesis for this deal?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Healthcare and Social,August 2025,sector,verticals,PEDESK
62111a,621111,diligence/Guide,62111A Primary Care Doctors in the US Industry Report.pdf,How does the target's revenue growth compare to the industry CAGR in this report?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Primary Care Doctors in,February 2026,growth,metrics,PEDESK
62111a,621111,diligence/Guide,62111A Primary Care Doctors in the US Industry Report.pdf,Is the target's profit margin above or below the industry benchmark?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Primary Care Doctors in,February 2026,margin,benchmarks,PEDESK
62111a,621111,diligence/Guide,62111A Primary Care Doctors in the US Industry Report.pdf,"Which report-cited external drivers most affect this target, and in which direction?",Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Primary Care Doctors in,February 2026,drivers,drivers,PEDESK
62111a,621111,diligence/Guide,62111A Primary Care Doctors in the US Industry Report.pdf,What public CMS/HCRIS data can validate or challenge this industry thesis?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Primary Care Doctors in,February 2026,validation,public-data,PEDESK
62111a,621111,diligence/Guide,62111A Primary Care Doctors in the US Industry Report.pdf,Which metrics here are report-derived vs provider-specific?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Primary Care Doctors in,February 2026,provenance,labeling,PEDESK
62111b,621112,diligence/Guide,62111B Specialist Doctors in the US Industry Report.pdf,How does the target's revenue growth compare to the industry CAGR in this report?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Specialist Doctors in the,March 2026,growth,metrics,PEDESK
62111b,621112,diligence/Guide,62111B Specialist Doctors in the US Industry Report.pdf,Is the target's profit margin above or below the industry benchmark?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Specialist Doctors in the,March 2026,margin,benchmarks,PEDESK
62111b,621112,diligence/Guide,62111B Specialist Doctors in the US Industry Report.pdf,"Which report-cited external drivers most affect this target, and in which direction?",Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Specialist Doctors in the,March 2026,drivers,drivers,PEDESK
62111b,621112,diligence/Guide,62111B Specialist Doctors in the US Industry Report.pdf,What public CMS/HCRIS data can validate or challenge this industry thesis?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Specialist Doctors in the,March 2026,validation,public-data,PEDESK
62111b,621112,diligence/Guide,62111B Specialist Doctors in the US Industry Report.pdf,Which metrics here are report-derived vs provider-specific?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Specialist Doctors in the,March 2026,provenance,labeling,PEDESK
62149,621498,diligence/Guide,62149 Emergency  Other Outpatient Care Centers in the US Industry Report.pdf,How does the target's revenue growth compare to the industry CAGR in this report?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Emergency & Other,January 2026,growth,metrics,PEDESK
