vertical_id,group,vertical_name,payment_system,payment_unit,market_size,market_size_unit,market_size_year,primary_payer,consolidation,confidence,source,notes
snf,A,Skilled Nursing Facilities,SNF PPS (PDPM),per patient-day,15000,facilities,2024,Medicaid,fragmented,high,CMS SNF PPS; CMS Care Compare; MedPAC,~1.2M residents (Jul 2024); 73% for-profit
senior_living,A,Assisted Living & Senior Living,Private-pay (Medicaid HCBS for some AL),monthly rent + care fees,635000,occupied units,2025,Private-pay,fragmented,medium,NIC MAP / NIC MAP Vision,Occupied IL+AL units across 31 primary markets Q4 2025
hospice,A,Hospice,Medicare hospice per-diem (4 levels),per day,26000,USD millions Medicare spend,2023,Medicare,consolidating,high,CMS hospice final rules; NHPCO; MedPAC,~1.72M beneficiaries 2023; 73% for-profit by 2024
home_health,A,Home Health,HH PPS (PDGM),per 30-day period,11000,agencies,2024,Medicare,fragmented,high,CMS HH PPS; Home Health Compare; MedPAC,432 PDGM payment groups
behavioral_health,B,Behavioral / Mental Health Treatment,Commercial/Medicaid/Medicare (CPT psychotherapy),per session/visit,,,2023,Mixed,fragmented,medium,SAMHSA NSDUH; HRSA NCHWA,Demand +49% through 2033 vs supply +11%
sud,B,Substance Use Disorder / Addiction Treatment,Per-diem residential + MAT; OTP 42 CFR Part 8,per day / per month MAT,1900,operating OTPs,2022,Medicaid/commercial,consolidating,medium,SAMHSA N-SSATS/NSDUH; AATOD,Up from ~1519 OTPs in 2018
aba,B,Applied Behavior Analysis (ABA) for Autism,CPT 97151-97158 (15-min units),per 15-min unit / hour,,,2025,Medicaid (EPSDT)/commercial,fragmented,medium,ABA Coding Coalition; AMA CPT; BACB,Autism prevalence 1 in 31 (CDC ADDM 2022)
hospital_at_home,C,Hospital-at-Home / Home-Based Acute Care,DRG-level (CMS AHCAH waiver),per episode (DRG),419,approved hospitals,2025,Medicare,health systems + vendors,medium,CMS AHCAH approved-facility list; AHA,147 systems / 39 states (counts vary 366-419)
post_acute,C,Post-Acute Continuum & Care Transitions,PDPM / IRF PPS / LTACH PPS / PDGM / per-diem,per-diem,,,2025,Medicare,mixed,medium,MedPAC March reports; CMS MedPAR,MedPAC recommends unified PAC PPS
personal_care,C,Personal Care / Direct Care Workforce,Medicaid HCBS + private pay,per hour,312900,USD millions HCBS spend,2024,Medicaid (68%),highly fragmented,high,PHI Key Facts; BLS OEWS; CMS HCBS,5.4M direct care workers
cell_gene_therapy,D,Cell & Gene Therapy,Outcomes-based / installment (WAC list),per dose,44,FDA-approved products,2025,Mixed,emerging,high,FDA Approved Cellular and Gene Therapy Products list; ICER,~44 approved products early 2025
cro,D,Contract Research Organizations,Contract clinical services,per trial / per phase,83000,USD millions global market,2024,Commercial,oligopoly (top 10 ~70%),medium,Company filings; Tufts CSDD,Market-size range $66-86B by scope
cdmo,D,Contract Development & Manufacturing Organizations,Contract development & manufacturing,per batch,155500,USD millions global market,2024,Commercial,consolidating,medium,Grand View Research; company reports,Projected $293.6B by 2033
nemt,E,Medical Transportation & Logistics (NEMT),Medicaid mandated benefit (broker/MCO),per trip,12770,USD millions market,2025,Medicaid (>60% trips),duopoly (ModivCare+MTM),medium,CMS Medicaid NEMT; Mordor/Insight Partners,Market-size range $9.8-17B
dme,E,Durable Medical Equipment (DME),HCPCS Part B; DMEPOS Competitive Bidding,per item,,,2025,Medicare Part B,fragmented,low,CMS DMEPOS fee schedule; HCPCS,Category-level spend not pinned to single source
dialysis_esrd,E,Dialysis & the ESRD Ecosystem,ESRD PPS bundled per-treatment,per treatment,6000,USD millions Medicare CY2026,2026,Medicare,duopoly (DaVita+Fresenius ~77%),high,USRDS; CMS ESRD PPS; Dialysis Facility Compare,~550-560K dialysis patients; ~7600 facilities
fertility_art,E,Fertility / Reproductive Health & ART,Cash-pay / employer benefit (some mandates),per cycle,8900,USD millions clinic spend,2023,Private / employer,consolidating,high,CDC ART/NASS; SART; ASRM,435426 ART cycles (2022); proj $16.8B by 2028
